id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
smartrecruiters:BoschGroup:744000148655057,Bosch,[SX/BSV-VN] Embedded Test Engineer Intern,Not stated,True,,Internship,,Software,"Ha Noi, , Vietnam",unknown,188,,Python; Linux,2026-09-10T01:40:48.979Z,exact,2026-09-10T04:52:01Z,https://jobs.smartrecruiters.com/BoschGroup/744000148655057
smartrecruiters:BoschGroup:744000148364924,Bosch,Internship in IT Solution Developer,Fall 2026,False,,Internship,,Software,"Batu Kawan, Penang, Malaysia",unknown,188,,Python; JavaScript; SQL,2026-09-09T00:35:41.243Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/BoschGroup/744000148364924
smartrecruiters:BoschGroup:744000148366240,Bosch,[Internship Program Q4] Embedded Software Intern (C/C++/Linux),Fall 2026,False,,Internship,,Software,"Ho Chi Minh, , Vietnam",unknown,188,,C++; Python,2026-09-09T00:58:14.226Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/BoschGroup/744000148366240
smartrecruiters:grab:744000148399141,Grab,"Intern, Software Engineer Mobile",Not stated,True,,Internship,,Software,"Petaling Jaya, , Malaysia",unknown,,,Python; Java; C++; Swift; Kotlin; Git,2026-09-09T02:21:12.846Z,exact,2026-09-09T04:51:38Z,https://jobs.smartrecruiters.com/grab/744000148399141
workday:intel:/job/Malaysia-Kulim/System-Software-Engineering-Intern_JR0286933,Intel,System Software Engineering Intern,Not stated,True,,Internship,,Software,"Malaysia, Kulim",unknown,4758,,Python; C++,2026-09-09T00:00:00Z,date_only,2026-09-09T04:51:38Z,https://intel.wd1.myworkdayjobs.com/external/job/Malaysia-Kulim/System-Software-Engineering-Intern_JR0286933
workday:thales:/job/Singapore/Software-Engineer-Intern_R0339658,Thales,Software Engineer Intern,Not stated,True,,Internship,,Software,Singapore,unknown,,,Java; TypeScript; Angular; HTML/CSS; Spring; Kubernetes; Git; Kafka,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://thales.wd3.myworkdayjobs.com/careers/job/Singapore/Software-Engineer-Intern_R0339658
workday:trendmicro:/job/Manila/Cybersecurity-Intern_R0005760,Trend Micro,Cybersecurity Intern,Not stated,True,,Internship,,Security,Manila,unknown,22,,Python,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://trendmicro.wd3.myworkdayjobs.com/External/job/Manila/Cybersecurity-Intern_R0005760
workday:trendmicro:/job/Manila/Global-Infrastructure-Services-Intern_R0009489,Trend Micro,Global Infrastructure Services Intern,Not stated,True,,Internship,,Software,Manila,unknown,22,,,2026-09-09T00:00:00Z,date_only,2026-09-09T13:15:06Z,https://trendmicro.wd3.myworkdayjobs.com/External/job/Manila/Global-Infrastructure-Services-Intern_R0009489
workday:amat:/job/SingaporeSGP/Customer-Engineer---Data-Science---ML-DevOps-Internship_R2626447,Applied Materials,Customer Engineer - Data Science / ML DevOps Internship,Not stated,True,,Internship,,Data & ML/AI,"Singapore,SGP",unknown,650,,Python,2026-09-08T00:00:00Z,date_only,2026-09-08T13:06:02Z,https://amat.wd1.myworkdayjobs.com/External/job/SingaporeSGP/Customer-Engineer---Data-Science---ML-DevOps-Internship_R2626447
workday:hp:/job/Singapore-South-West-Singapore/College-Intern---AI-Transformation_UNI4908-1,Hewlett Packard (HP),College Intern - AI Transformation,Not stated,True,,Internship,,Data & ML/AI,"Singapore, South West, Singapore",unknown,,,,2026-09-08T00:00:00Z,date_only,2026-09-09T04:51:38Z,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Singapore-South-West-Singapore/College-Intern---AI-Transformation_UNI4908-1
